NAME                                VERSION                TYPE                    
@isaacs/cliui                       8.0.2                  npm                      
@isaacs/fs-minipass                 4.0.1                  npm                      
@isaacs/string-locale-compare       1.1.0                  npm                      
@npmcli/agent                       2.2.2                  npm                      
@npmcli/agent                       3.0.0                  npm                      
@npmcli/arborist                    8.0.0                  npm                      
@npmcli/config                      9.0.0                  npm                      
@npmcli/fs                          3.1.1                  npm                      
@npmcli/fs                          4.0.0                  npm                      
@npmcli/git                         6.0.1                  npm                      
@npmcli/installed-package-contents  3.0.0                  npm                      
@npmcli/map-workspaces              4.0.1                  npm                      
@npmcli/metavuln-calculator         8.0.1                  npm                      
@npmcli/name-from-folder            3.0.0                  npm                      
@npmcli/node-gyp                    4.0.0                  npm                      
@npmcli/package-json                6.0.1                  npm                      
@npmcli/promise-spawn               8.0.2                  npm                      
@npmcli/query                       4.0.0                  npm                      
@npmcli/redact                      3.0.0                  npm                      
@npmcli/run-script                  9.0.1                  npm                      
@pkgjs/parseargs                    0.11.0                 npm                      
@sigstore/bundle                    3.0.0                  npm                      
@sigstore/core                      2.0.0                  npm                      
@sigstore/protobuf-specs            0.3.2                  npm                      
@sigstore/sign                      3.0.0                  npm                      
@sigstore/tuf                       3.0.0                  npm                      
@sigstore/verify                    2.0.0                  npm                      
@tufjs/canonical-json               2.0.0                  npm                      
@tufjs/models                       3.0.1                  npm                      
abbrev                              2.0.0                  npm     (+1 duplicate)   
abbrev                              3.0.0                  npm                      
ada-libs                            2.7.8-r0               apk                      
agent-base                          7.1.1                  npm                      
aggregate-error                     3.1.0                  npm                      
alpine-baselayout                   3.6.5-r0               apk                      
alpine-baselayout-data              3.6.5-r0               apk                      
alpine-keys                         2.4-r1                 apk                      
alpine-release                      3.20.5-r0              apk                      
ansi-regex                          5.0.1                  npm                      
ansi-regex                          6.1.0                  npm     (+1 duplicate)   
ansi-styles                         4.3.0                  npm                      
ansi-styles                         6.2.1                  npm                      
apache2-utils                       2.4.62-r0              apk                      
apk-tools                           2.14.4-r1              apk                      
apr                                 1.7.5-r0               apk                      
apr-util                            1.6.3-r1               apk                      
aproba                              2.0.0                  npm                      
archy                               1.0.0                  npm                      
argon2-libs                         20190702-r5            apk                      
balanced-match                      1.0.2                  npm                      
bash                                5.2.26-r0              apk                      
bin-links                           5.0.0                  npm                      
binary-extensions                   2.3.0                  npm                      
brace-expansion                     2.0.1                  npm                      
brotli-libs                         1.1.0-r2               apk                      
busybox                             1.36.1-r29             apk                      
busybox-binsh                       1.36.1-r29             apk                      
c-ares                              1.33.1-r0              apk                      
ca-certificates                     20241121-r1            apk                      
ca-certificates-bundle              20241121-r1            apk                      
cacache                             18.0.4                 npm                      
cacache                             19.0.1                 npm                      
catatonit                           0.2.0-r0               apk                      
chalk                               5.3.0                  npm                      
chownr                              2.0.0                  npm                      
chownr                              3.0.0                  npm                      
ci-info                             4.1.0                  npm                      
cidr-regex                          4.1.1                  npm                      
clean-stack                         2.2.0                  npm                      
cli-columns                         4.0.0                  npm                      
cmd-shim                            7.0.0                  npm                      
color-convert                       2.0.1                  npm                      
color-name                          1.1.4                  npm                      
common-ancestor-path                1.0.1                  npm                      
composer                            2.8.4                  binary                   
coreutils                           9.5-r2                 apk                      
coreutils-env                       9.5-r2                 apk                      
coreutils-fmt                       9.5-r2                 apk                      
coreutils-sha512sum                 9.5-r2                 apk                      
cross-spawn                         7.0.6                  npm                      
cssesc                              3.0.0                  npm                      
curl                                8.11.1-r0              apk                      
debug                               4.3.7                  npm                      
diff                                5.2.0                  npm                      
eastasianwidth                      0.2.0                  npm                      
emoji-regex                         8.0.0                  npm                      
emoji-regex                         9.2.2                  npm     (+1 duplicate)   
encoding                            0.1.13                 npm                      
env-paths                           2.2.1                  npm                      
err-code                            2.0.3                  npm                      
exponential-backoff                 3.1.1                  npm                      
fastest-levenshtein                 1.0.16                 npm                      
findutils                           4.9.0-r5               apk                      
foreground-child                    3.3.0                  npm                      
fs-minipass                         2.1.0                  npm                      
fs-minipass                         3.0.3                  npm                      
git                                 2.45.3-r0              apk                      
git-init-template                   2.45.3-r0              apk                      
glob                                10.4.5                 npm                      
gmp                                 6.3.0-r1               apk                      
graceful-fs                         4.2.11                 npm                      
hosted-git-info                     8.0.2                  npm                      
http-cache-semantics                4.1.1                  npm                      
http-proxy-agent                    7.0.2                  npm                      
https-proxy-agent                   7.0.5                  npm                      
iconv-lite                          0.6.3                  npm                      
icu-data-en                         74.2-r0                apk                      
icu-libs                            74.2-r0                apk                      
ignore-walk                         7.0.0                  npm                      
imurmurhash                         0.1.4                  npm                      
indent-string                       4.0.0                  npm                      
ini                                 5.0.0                  npm                      
init-package-json                   7.0.1                  npm                      
ip-address                          9.0.5                  npm                      
ip-regex                            5.0.0                  npm                      
is-cidr                             5.1.0                  npm                      
is-fullwidth-code-point             3.0.0                  npm                      
is-lambda                           1.0.1                  npm                      
isexe                               2.0.0                  npm                      
isexe                               3.1.1                  npm     (+1 duplicate)   
jackspeak                           3.4.3                  npm                      
jq                                  1.7.1-r0               apk                      
jsbn                                1.1.0                  npm                      
json-parse-even-better-errors       4.0.0                  npm                      
json-stringify-nice                 1.1.4                  npm                      
jsonparse                           1.3.1                  npm                      
just-diff                           6.0.2                  npm                      
just-diff-apply                     5.5.0                  npm                      
libacl                              2.3.2-r0               apk                      
libattr                             2.5.2-r0               apk                      
libbase64                           0.5.2-r0               apk                      
libbsd                              0.12.2-r0              apk                      
libbz2                              1.0.8-r6               apk                      
libcrypto3                          3.3.2-r1               apk                      
libcurl                             8.11.1-r0              apk                      
libedit                             20240517.3.1-r0        apk                      
libexpat                            2.6.4-r0               apk                      
libgcc                              13.2.1_git20240309-r0  apk                      
libidn2                             2.3.7-r0               apk                      
libintl                             0.22.5-r0              apk                      
libmd                               1.1.0-r0               apk                      
libncursesw                         6.4_p20240420-r2       apk                      
libnpmaccess                        9.0.0                  npm                      
libnpmdiff                          7.0.0                  npm                      
libnpmexec                          9.0.0                  npm                      
libnpmfund                          6.0.0                  npm                      
libnpmhook                          11.0.0                 npm                      
libnpmorg                           7.0.0                  npm                      
libnpmpack                          8.0.0                  npm                      
libnpmpublish                       10.0.1                 npm                      
libnpmsearch                        8.0.0                  npm                      
libnpmteam                          7.0.0                  npm                      
libnpmversion                       7.0.0                  npm                      
libproc2                            4.0.4-r0               apk                      
libpsl                              0.21.5-r1              apk                      
libssl3                             3.3.2-r1               apk                      
